2026-07-15 23:09:17 | INFO     | app.middleware.logging:dispatch:18 | [2b104f06] 200 - 10.83ms
2026-07-15 23:09:17 | INFO     | app.middleware.logging:dispatch:13 | [9c818d1a] POST /api/v1/auth/logout
2026-07-15 23:09:18 | INFO     | app.middleware.logging:dispatch:18 | [9c818d1a] 204 - 131.03ms
2026-07-15 23:09:36 | INFO     | app.middleware.logging:dispatch:13 | [9570dd95] POST /api/v1/auth/google
2026-07-15 23:09:40 | INFO     | app.middleware.logging:dispatch:18 | [9570dd95] 401 - 3457.53ms
2026-07-15 23:09:55 | INFO     | app.middleware.logging:dispatch:13 | [19bfbdeb] POST /api/v1/auth/google
2026-07-15 23:10:02 | INFO     | app.middleware.logging:dispatch:18 | [19bfbdeb] 200 - 6989.12ms
2026-07-15 23:10:03 | INFO     | app.middleware.logging:dispatch:13 | [a46f20ef] GET /api/v1/dashboard
2026-07-15 23:10:03 | INFO     | app.middleware.logging:dispatch:18 | [a46f20ef] 200 - 660.44ms
2026-07-15 23:10:05 | INFO     | app.middleware.logging:dispatch:13 | [9de85aba] GET /api/v1/dashboard
2026-07-15 23:10:06 | INFO     | app.middleware.logging:dispatch:18 | [9de85aba] 200 - 643.44ms
2026-07-15 23:10:53 | INFO     | app.middleware.logging:dispatch:13 | [c2f21038] POST /api/v1/auth/logout
2026-07-15 23:10:53 | INFO     | app.middleware.logging:dispatch:18 | [c2f21038] 204 - 12.36ms
2026-07-15 23:50:00 | INFO     | main:lifespan:27 | Shutting down...
2026-07-18 17:53:55 | INFO     | main:<module>:86 | Rate limiting enabled
2026-07-18 17:53:55 | INFO     | main:lifespan:23 | Starting Multi-Agent Shopping Assistant v1.0.0
2026-07-18 17:53:55 | INFO     | main:lifespan:25 | Database initialized
2026-07-18 17:54:21 | INFO     | app.middleware.logging:dispatch:13 | [eb4d8076] GET /
2026-07-18 17:54:21 | INFO     | app.middleware.logging:dispatch:18 | [eb4d8076] 200 - 881.77ms
2026-07-18 17:54:22 | INFO     | app.middleware.logging:dispatch:13 | [b75aa5a9] GET /favicon.ico
2026-07-18 17:54:22 | INFO     | app.middleware.logging:dispatch:18 | [b75aa5a9] 404 - 25.76ms
2026-07-18 17:56:46 | INFO     | app.middleware.logging:dispatch:13 | [0c996fa7] OPTIONS /api/v1/auth/google
2026-07-18 17:56:46 | INFO     | app.middleware.logging:dispatch:18 | [0c996fa7] 200 - 53.39ms
2026-07-18 17:56:46 | INFO     | app.middleware.logging:dispatch:13 | [e6a878dc] POST /api/v1/auth/google
2026-07-18 17:56:53 | INFO     | app.middleware.logging:dispatch:18 | [e6a878dc] 200 - 7087.92ms
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:13 | [a47dd20f] OPTIONS /api/v1/dashboard
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:13 | [e7e14075] OPTIONS /api/v1/dashboard
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:18 | [a47dd20f] 200 - 10.63ms
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:18 | [e7e14075] 200 - 16.25ms
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:13 | [1d027d90] GET /api/v1/dashboard
2026-07-18 17:56:54 | INFO     | app.middleware.logging:dispatch:18 | [1d027d90] 200 - 279.07ms
2026-07-18 17:56:55 | INFO     | app.middleware.logging:dispatch:13 | [5570f158] GET /api/v1/dashboard
2026-07-18 17:56:55 | INFO     | app.middleware.logging:dispatch:18 | [5570f158] 200 - 341.83ms
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:13 | [eea96fe5] OPTIONS /api/v1/wishlist
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:18 | [eea96fe5] 200 - 10.09ms
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:13 | [7678c324] OPTIONS /api/v1/wishlist
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:13 | [a78fa1d3] GET /api/v1/wishlist
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:18 | [7678c324] 200 - 20.39ms
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:18 | [a78fa1d3] 200 - 348.23ms
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:13 | [d13713f6] GET /api/v1/wishlist
2026-07-18 17:57:09 | INFO     | app.middleware.logging:dispatch:18 | [d13713f6] 200 - 87.62ms
2026-07-18 18:00:25 | INFO     | main:lifespan:27 | Shutting down...
